community,area_num,mean_radiance,sum_radiance,min_radiance,max_radiance,std_radiance,ACS Year,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID,complaint_count
LOGAN SQUARE,22.0,96.14469,5191.8135,65.1481,174.58209,26.899845,2023,1259,1521,1329,2708,7008,5469,2746,11445,9136,3989,2501,6219,3131,11399,8192,4007,3121,71354,45894,4355,481,3344,78,5260,11942,36570,24808,2023_LOGAN SQUARE,5550
HUMBOLDT PARK,23.0,82.27555,4442.88,69.942535,117.72868,9.766692,2023,2099,3124,2632,2200,1901,7097,2493,4083,5546,4563,2115,7596,2530,5466,6141,4312,3073,55015,14677,19829,820,1335,0,11664,6691,6488,27389,2023_HUMBOLDT PARK,6590
WEST TOWN,24.0,105.26526,7789.6294,72.66999,182.86282,28.65092,2023,1051,1114,1197,2506,10663,5722,2592,16967,11131,4750,2570,5586,3211,16764,9695,4375,3089,86453,61759,6039,147,5138,21,4650,8700,54505,17099,2023_WEST TOWN,6518
AUSTIN,25.0,75.258545,8805.25,46.949963,116.15511,13.325815,2023,5506,5084,3600,4047,3725,12399,4668,6681,9920,8110,6175,12163,4575,6643,10092,10040,8811,100278,10447,73602,531,678,21,8512,6487,5386,19591,2023_AUSTIN,12957
WEST GARFIELD PARK,26.0,93.998474,2161.9648,78.9809,108.99233,7.8223524,2023,1048,975,655,432,346,2343,828,1223,1424,1713,853,1548,871,1263,1247,1684,1347,16345,501,15047,1,12,0,641,144,347,878,2023_WEST GARFIELD PARK,3650
EAST GARFIELD PARK,27.0,96.30366,3466.9316,72.63129,114.56645,10.298103,2023,1416,1114,462,767,436,2588,872,1525,1599,1499,796,2730,1264,1378,2624,1669,1312,19855,1537,16911,47,35,13,494,818,1130,1535,2023_EAST GARFIELD PARK,4268
NEAR WEST SIDE,28.0,150.69785,13562.807,95.52896,224.67587,33.23053,2023,1532,1460,814,1625,6517,4919,4219,10357,7348,3601,1701,4144,4777,10374,7342,3979,2610,65370,30838,16099,119,11600,88,2322,4304,28282,6779,2023_NEAR WEST SIDE,6459
NORTH LAWNDALE,29.0,89.57703,4389.2744,72.088524,114.853065,11.15619,2023,1772,1538,1171,1454,613,4003,1654,2029,2415,1900,1477,3851,1250,2711,3627,3188,2251,30355,2545,24036,155,59,0,2363,1196,1614,4413,2023_NORTH LAWNDALE,6156
SOUTH LAWNDALE,30.0,98.71305,7304.7656,78.535805,161.8362,16.846043,2023,2608,4557,2307,2417,1622,7620,5006,8260,8288,5155,5044,7244,3896,4037,5721,4979,4303,69554,22010,8371,1044,606,32,23420,14070,3741,56992,2023_SOUTH LAWNDALE,5200
LOWER WEST SIDE,31.0,119.86282,6232.8667,85.9935,193.26785,21.561539,2023,900,1560,1242,1626,1887,3150,1522,4392,3634,2785,1700,2664,1888,4253,3611,2461,2118,34177,13332,1118,707,1430,0,11407,6182,7311,23679,2023_LOWER WEST SIDE,5023
